invoice_number,invoice_date,taxable_value,cgst,sgst,igst,total_tax,total_value,place_of_supply,reverse_charge,seller_gstin,seller_name,buyer_gstin,buyer_name
INV-2425-0053,2025-03-03,906498.15,0.0,0.0,163169.67,,1069667.82,34,,07LABCR0354BNZ2,,,
SI-2425-493,2025-03-03,4319526.05,388757.34,388757.34,0.0,,5097040.73,22,,22TVHPP6202IAZZ,,,
GST-2425-0399,2025-03-02,2205435.38,0.0,0.0,110271.77,,2315707.15,18,,26YKTPZ6224A9ZY,,,
GST-2425-0399,2025-03-02,2205435.38,0.0,0.0,110271.77,,2315707.15,18,,26YKTPZ6224A9ZY,,,
2425-00108,2025-03-01,4664535.72,0.0,0.0,0.0,,4664535.72,10,,26WJNGF2848X6ZX,,,
TAX242500223,2025-03-01,62683.24,0.0,0.0,11282.98,,73966.22,02,,26YKTPZ6224A9ZY,,,
2425-00108,2025-03-01,4664535.72,0.0,0.0,0.0,,4664535.72,10,,26WJNGF2848X6ZX,,,
TAX242500223,2025-03-01,62683.24,0.0,0.0,7521.99,,70205.23,02,,26YKTPZ6224A9ZY,,,
B2B24250443,2025-02-28,4809041.09,0.0,0.0,240452.05,,5049493.14,01,,04CJJGW2962SNZ4,,,
CIRC-2-0,2025-02-28,714138.03,0.0,0.0,128544.85,,842682.88,20,,34RHBCP5429NBZ0,,,
B2B24250443,2025-02-28,4809041.09,0.0,0.0,240452.05,,5049493.14,01,,04CJJGW2962SNZ4,,,
CIRC-2-0,2025-02-28,714138.03,0.0,0.0,128544.85,,842682.88,20,,34RHBCP5429NBZ0,,,
SI2425268,2025-02-26,4261312.93,0.0,0.0,767036.33,,5028349.26,27,,05JRSBT6524IEZE,,,
SI2425268,2025-02-26,4261312.93,0.0,0.0,767036.33,,5028349.26,27,,05JRSBT6524IEZE,,,
2425-0405,2025-02-25,2878491.8,0.0,0.0,518128.52,,3396620.32,06,,33NZJPJ8685WOZ1,,,
2425-0405,2025-02-25,2878491.8,0.0,0.0,518128.52,,3396620.32,06,,33NZJPJ8685WOZ1,,,
2425000254,2025-02-24,2945098.77,0.0,0.0,530117.78,,3475216.55,34,,10ZICJD5474UMZ1,,,
GST-2425-0334,2025-02-24,2737840.87,0.0,0.0,492811.36,,3230652.23,22,,02YKTPZ6224AQZR,,,
2425-00521,2025-02-24,4468245.88,0.0,0.0,804284.26,,5272530.14,21,,14JXHTN3667Y5ZQ,,,
2425000254,2025-02-24,2945098.77,0.0,0.0,530117.78,,3475216.55,34,,10ZICJD5474UMZ1,,,
GST-2425-0334,2025-02-24,2737840.87,0.0,0.0,492811.36,,3230652.23,22,,02YKTPZ6224AQZR,,,
2425-00521,2025-02-24,4468245.88,0.0,0.0,804284.26,,5272530.14,21,,14JXHTN3667Y5ZQ,,,
2425-000120,2025-02-22,621760.44,0.0,0.0,111916.88,,733677.32,18,,02YKTPZ6224AQZR,,,
2425/000400,2025-02-22,3622050.08,0.0,0.0,651969.01,,4274019.09,10,,33VCYCP9274PXZK,,,
2425/000400,2025-02-22,3622050.08,0.0,0.0,651969.01,,4274019.09,10,,33VCYCP9274PXZK,,,
GST2425129,2025-02-21,4044858.46,0.0,0.0,728074.52,,4772932.98,04,,26RCLJF0323YVZ3,,,
2425-246,2025-02-21,2113227.02,0.0,0.0,591703.57,,2726062.86,12,,20OUNAT3098ZWZV,,,
INV2425000533,2025-02-21,1509025.63,0.0,0.0,271624.61,,1780650.24,05,,20OUNAT3098ZWZV,,,
GST2425000596,2025-02-21,853325.59,0.0,0.0,153598.61,,1006924.2,12,,26WJNGF2848X6ZX,,,
GST2425129,2025-02-21,4044858.46,0.0,0.0,0.0,,4044858.46,04,,26RCLJF0323YVZ3,,,
2425-246,2025-02-21,2113227.02,0.0,0.0,591703.57,,2726062.86,12,,20OUNAT3098ZWZV,,,
INV2425000533,2025-02-21,1509025.63,0.0,0.0,271624.61,,1780650.24,05,,20OUNAT3098ZWZV,,,
GST2425000596,2025-02-21,853325.59,0.0,0.0,238931.17,,1092256.76,12,,26WJNGF2848X6ZX,,,
CIRC-1-3,2025-02-20,2826523.18,0.0,0.0,508774.17,,3335297.35,20,,12BUHHN1557FAZ2,,,
CIRC-1-3,2025-02-20,2826523.18,0.0,0.0,508774.17,,3335297.35,20,,12BUHHN1557FAZ2,,,
INV-2425-000283,2025-02-19,1462454.97,204743.7,204743.7,0.0,,1871942.37,22,,22SAYPV7763CRZW,,,
INV-2425-000283,2025-02-19,1462454.97,204743.7,204743.7,0.0,,1871942.37,22,,22SAYPV7763CRZW,,,
2425-00007,2025-02-18,330493.36,0.0,0.0,92538.14,,426336.43,02,,37OSFJM8611XFZ8,,,
TAX-2425-00353,2025-02-18,3664706.12,0.0,0.0,1026117.71,,4690823.83,26,,04RCLJF0323YNZH,,,
B2B-2425-383,2025-02-18,2886983.83,0.0,0.0,519657.09,,3406640.92,35,,14JXHTN3667Y5ZQ,,,
INV-2425-523,2025-02-18,4726497.55,0.0,0.0,567179.71,,5293677.26,20,,33VCYCP9274PXZK,,,
2425-00007,2025-02-18,330493.36,0.0,0.0,92538.14,,426336.43,02,,37OSFJM8611XFZ8,,,
TAX-2425-00353,2025-02-18,3664706.12,0.0,0.0,1026117.71,,4690823.83,26,,04RCLJF0323YNZH,,,
B2B-2425-383,2025-02-18,2886983.83,0.0,0.0,519657.09,,3406640.92,35,,14JXHTN3667Y5ZQ,,,
GST2425404,2025-02-17,4076640.17,0.0,0.0,203832.01,,4280472.18,04,,05JRSBT6524IEZE,,,
GST2425404,2025-02-17,4076640.17,0.0,0.0,203832.01,,4280472.18,04,,05JRSBT6524IEZE,,,
24250116,2025-02-16,1466554.04,0.0,0.0,0.0,,1466554.04,26,,20SOELV7154AUZ7,,,
TAX-2425-000236,2025-02-16,4639469.61,0.0,0.0,0.0,,4639469.61,12,,01TLXTG7331WGZ2,,,
GST/2425/00346,2025-02-16,1306230.73,0.0,0.0,235121.53,,1541352.26,37,,27BMFJL3720GXZO,,,
SI/2425/00501,2025-02-16,2300570.34,0.0,0.0,414102.66,,2714673.0,20,,26WJNGF2848X6ZX,,,
24250116,2025-02-16,1466554.04,0.0,0.0,0.0,,1466554.04,26,,20SOELV7154AUZ7,,,
TAX-2425-000236,2025-02-16,4639469.61,0.0,0.0,0.0,,4639469.61,12,,01TLXTG7331WGZ2,,,
GST/2425/00346,2025-02-16,1306230.73,0.0,0.0,235121.53,,1541352.26,37,,27BMFJL3720GXZO,,,
SI/2425/00501,2025-02-16,2300570.34,0.0,0.0,414102.66,,2714673.0,20,,26WJNGF2848X6ZX,,,
B2B-2425-000036,2025-02-15,82390.48,0.0,0.0,14830.29,,97220.77,32,,05JRSBT6524IEZE,,,
TAX-2425-0140,2025-02-15,955381.35,0.0,0.0,171968.64,,1127349.99,16,,22TVHPP6202IAZZ,,,
GST/2425/00188,2025-02-15,2754838.14,0.0,0.0,495870.87,,3250709.01,10,,26YKTPZ6224A9ZY,,,
INV2425000348,2025-02-15,2538166.98,0.0,0.0,456870.06,,2995037.04,01,,06WCBJC5618JFZ7,,,
B2B-2425-000036,2025-02-15,82390.48,0.0,0.0,14830.29,,97220.77,32,,05JRSBT6524IEZE,,,
TAX-2425-0140,2025-02-15,955381.35,0.0,0.0,171968.64,,1127349.99,16,,22TVHPP6202IAZZ,,,
GST/2425/00188,2025-02-15,2754838.14,0.0,0.0,495870.87,,3250709.01,10,,26YKTPZ6224A9ZY,,,
INV2425000348,2025-02-15,2538166.98,0.0,0.0,456870.06,,2995037.04,01,,06WCBJC5618JFZ7,,,
B2B-2425-00165,2025-02-14,220650.77,0.0,0.0,11032.54,,231683.31,18,,04RCLJF0323YNZH,,,
B2B-2425-00165,2025-02-14,220650.77,0.0,0.0,11032.54,,231683.31,18,,04RCLJF0323YNZH,,,
INV242500264,2025-02-13,2729851.26,0.0,0.0,491373.23,,3221224.49,22,,16RNUCV0563YVZX,,,
INV24250492,2025-02-13,2988503.54,0.0,0.0,149425.18,,3137928.72,34,,18GDFBX5712POZS,,,
GST242500579,2025-02-13,3253410.29,0.0,0.0,162670.51,,3416080.8,35,,01ANHAR2967D4ZW,,,
INV242500264,2025-02-13,2729851.26,0.0,0.0,491373.23,,3221224.49,22,,16RNUCV0563YVZX,,,
INV24250492,2025-02-13,2988503.54,0.0,0.0,149425.18,,3137928.72,34,,18GDFBX5712POZS,,,
GST242500579,2025-02-13,3253410.29,0.0,0.0,162670.51,,3416080.8,35,,01ANHAR2967D4ZW,,,
CIRC-2-3,2025-02-11,1080797.08,0.0,0.0,194543.47,,1275340.55,34,,10ZICJD5474UMZ1,,,
CIRC-2-3,2025-02-11,1080797.08,0.0,0.0,194543.47,,1275340.55,34,,10ZICJD5474UMZ1,,,
CIRC-2-2,2025-02-10,941362.36,0.0,0.0,169445.22,,1110807.58,10,,34UKYPI8225VZZF,,,
2425000016,2025-02-10,4411815.04,0.0,0.0,794126.71,,5205941.75,18,,37OSFJM8611XFZ8,,,
CIRC-2-2,2025-02-10,941362.36,0.0,0.0,169445.22,,1110807.58,10,,34UKYPI8225VZZF,,,
TAX/2425/00504,2025-02-09,848159.12,0.0,0.0,237484.55,,1085643.67,12,,15JRSBT6524ILZ6,,,
INV/2425/000520,2025-02-09,2721545.06,0.0,0.0,136077.25,,2857622.31,36,,01TLXTG7331WGZ2,,,
TAX/2425/00504,2025-02-09,848159.12,0.0,0.0,237484.55,,1085643.67,12,,15JRSBT6524ILZ6,,,
INV/2425/000520,2025-02-09,2721545.06,0.0,0.0,136077.25,,2857622.31,36,,01TLXTG7331WGZ2,,,
INV-2425-00230,2025-02-07,3550242.56,0.0,0.0,639043.66,,4189286.22,04,,22WJNGF2848XQZL,,,
B2B242500369,2025-02-07,1919269.65,0.0,0.0,345468.54,,2264738.19,34,,08BYBAH1011VBZU,,,
TAX/2425/597,2025-02-07,442773.16,0.0,0.0,22138.66,,464911.82,10,,16IBMPF0580C3ZS,,,
INV-2425-00230,2025-02-07,3550242.56,0.0,0.0,639043.66,,4189286.22,04,,22WJNGF2848XQZL,,,
B2B242500369,2025-02-07,1919269.65,0.0,0.0,345468.54,,2264738.19,34,,08BYBAH1011VBZU,,,
TAX/2425/597,2025-02-07,442773.16,0.0,0.0,22138.66,,464911.82,10,,16IBMPF0580C3ZS,,,
TAX-2425-0050,2025-02-06,188290.89,0.0,0.0,33892.36,,222183.25,08,,22WJNGF2848XQZL,,,
SI242500225,2025-02-06,4040363.03,0.0,0.0,727265.35,,4767628.38,32,,33NZJPJ8685WOZ1,,,
B2B-2425-00384,2025-02-06,2014661.86,0.0,0.0,100733.09,,2115394.95,05,,04RCLJF0323YNZH,,,
TAX-2425-000412,2025-02-06,4169083.18,0.0,0.0,750434.97,,4919518.15,34,,02BKOLB2495WPZY,,,
TAX-2425-0050,2025-02-06,188290.89,0.0,0.0,33892.36,,222183.25,08,,22WJNGF2848XQZL,,,
SI242500225,2025-02-06,4040363.03,0.0,0.0,727265.35,,4767628.38,32,,33NZJPJ8685WOZ1,,,
B2B-2425-00384,2025-02-06,2014661.86,0.0,0.0,100733.09,,2115394.95,05,,04RCLJF0323YNZH,,,
TAX-2425-000412,2025-02-06,4169083.18,0.0,0.0,750434.97,,4919518.15,34,,02BKOLB2495WPZY,,,
SI-2425-0017,2025-02-05,699765.15,0.0,0.0,125957.73,,825722.88,10,,12BUHHN1557FAZ2,,,
2425/00233,2025-02-05,3924074.02,0.0,0.0,1098740.73,,5022814.75,34,,23ZNYBI1921NDZD,,,
INV/2425/000330,2025-02-05,4631139.35,0.0,0.0,833605.08,,5464744.43,20,,01MIMHZ2258RGZ6,,,
SI-2425-0017,2025-02-05,699765.15,0.0,0.0,125957.73,,825722.88,10,,12BUHHN1557FAZ2,,,
2425/00233,2025-02-05,3924074.02,0.0,0.0,1098740.73,,5022814.75,34,,23ZNYBI1921NDZD,,,
INV/2425/000330,2025-02-05,4631139.35,0.0,0.0,833605.08,,5464744.43,20,,01MIMHZ2258RGZ6,,,
B2B2425000267,2025-02-03,4325560.26,0.0,0.0,778600.85,,5104161.11,05,,01DEMBO8806RVZQ,,,
INV/2425/0530,2025-02-03,3657176.65,0.0,0.0,658291.8,,4315468.45,27,,02BKOLB2495WPZY,,,
SI24250561,2025-02-03,1310189.39,0.0,0.0,235834.09,,1546023.48,03,,05JRSBT6524IEZE,,,
2425-000564,2025-02-03,2836155.65,0.0,0.0,510508.02,,3346663.67,34,,04RCLJF0323YNZH,,,
B2B2425000267,2025-02-03,4325560.26,0.0,0.0,778600.85,,5104161.11,05,,01DEMBO8806RVZQ,,,
INV/2425/0530,2025-02-03,3657176.65,0.0,0.0,658291.8,,4315468.45,27,,02BKOLB2495WPZY,,,
SI24250561,2025-02-03,1310189.39,0.0,0.0,235834.09,,1546023.48,03,,05JRSBT6524IEZE,,,
2425-000564,2025-02-03,2836155.65,0.0,0.0,510508.02,,3346663.67,34,,04RCLJF0323YNZH,,,
